Counts,latitude,longitude,Crime_level
0.0,51.2941,-0.24270000000000000,Low
0.0,51.2941,-0.23460000000000000,Low
0.0,51.2941,-0.22650000000000000,Low
0.0,51.2941,-0.21840000000000000,Low
0.0,51.2941,-0.21030000000000000,Low
0.0,51.2941,-0.20220000000000000,Low
0.0,51.2941,-0.19410000000000000,Low
0.0,51.2941,-0.18600000000000000,Low
0.0,51.2941,-0.17790000000000000,Low
0.0,51.2941,-0.16980000000000000,Low
2.0,51.2941,-0.16170000000000000,Low
0.0,51.2941,-0.15360000000000000,Low
0.0,51.2941,-0.14550000000000000,Low
0.0,51.2941,-0.1374000000000000,Low
0.0,51.2941,-0.1293000000000000,Low
0.0,51.2941,-0.1212000000000000,Low
10.0,51.2941,-0.1131000000000000,Low
0.0,51.2941,-0.1050000000000000,Low
